Model,RMSE,MAE,R2_Score
random_forest,737.9144454401994,99.4700402779804,0.922076402740154
gradient_boosting,668.107466772355,123.84730149202339,0.9361222486386166
random_forest_tuned,692.0487285120313,92.489626624145,0.9314621749158588
gradient_boosting_tuned,668.107466772355,123.84730149202339,0.9361222486386166
