capacity_mw,generation_gwh_2016,generation_gwh_2017,generation_gwh_2015,generation_gwh_2018,generation_gwh_2014,generation_gwh_2013,primary_fuel,estimated_generation_gwh_2015,estimated_generation_gwh_2014,generation_gwh_2019,estimated_generation_gwh_2013,estimated_generation_gwh_2016,source,longitude,geolocation_source,owner,plant_age_years,year_of_capacity_data,latitude,estimated_generation_gwh_2017
72.0,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,33,6.0531,13,7806,11.0,2019.0,31.6703,300.63
600.0,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,33,6.0531,13,7806,9.0,2019.0,31.6703,2505.32
200.0,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,33,6.0517,10,7806,36.0,2019.0,31.7877,835.1
492.0,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,33,5.9924,13,7806,17.0,2019.0,31.8065,2054.36
20.0,22.563,18.273,26.0715,13.0125,23.489,23.095,7,34.3,35.77,11.7585,27.62,35.45,773,3.356,28,8800,17.0,2019.0,33.123,34.69
106.6,22.563,18.273,26.0715,13.0125,23.489,23.095,7,166.11,163.86,11.7585,27.62,173.56,773,3.169,28,8800,17.0,2019.0,34.342,173.33
73.8,22.563,18.273,26.0715,13.0125,23.489,23.095,7,130.32,129.42,11.7585,27.62,131.08,773,5.9861,28,8800,17.0,2019.0,35.68,130.11
24.0,22.563,18.273,26.0715,13.0125,23.489,23.095,3,27.86,33.08,11.7585,30.81,32.34,33,5.2719,10,7118,72.0,2019.0,36.4739,30.82
5.0,22.563,18.273,26.0715,13.0125,23.489,23.095,7,8.63,9.34,11.7585,27.62,8.8,773,2.504,28,8800,17.0,2019.0,27.183,8.75
588.0,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,33,5.876,10,8800,17.0,2019.0,36.8139,2455.21
345.0,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,33,-0.2476,10,8800,17.0,2019.0,35.8064,1440.56
1200.0,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,33,8.0778,10,7402,11.0,2019.0,36.885,5010.64
20.0,22.563,18.273,26.0715,13.0125,23.489,23.095,7,33.62,33.91,11.7585,27.62,34.41,773,0.555,28,8800,17.0,2019.0,32.945,33.84
396.0,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,33,6.9848,13,8800,9.0,2019.0,34.5056,1653.51
840.0,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,33,-0.1924,10,8800,17.0,2019.0,35.8,3507.45
184.0,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,33,-0.1924,10,7807,17.0,2019.0,35.8,768.29
980.0,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,33,4.4804,13,7807,17.0,2019.0,35.7071,4092.02
19.9,22.563,18.273,26.0715,13.0125,23.489,23.095,7,33.18,33.71,11.7585,27.62,34.48,773,-0.372,28,8800,17.0,2019.0,33.274,33.31
15.0,22.563,18.273,26.0715,13.0125,23.489,23.095,7,28.76,27.9,11.7585,27.62,28.54,773,7.87,28,8800,17.0,2019.0,35.919,28.38
20.0,22.563,18.273,26.0715,13.0125,23.489,23.095,7,37.26,37.41,11.7585,27.62,37.62,773,5.9861,28,8800,17.0,2019.0,35.68,37.38
672.0,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,33,3.6983,10,8800,17.0,2019.0,36.8509,2805.96
20.0,22.563,18.273,26.0715,13.0125,23.489,23.095,7,37.36,38.61,11.7585,27.62,38.14,773,5.035,28,8800,17.0,2019.0,36.01,38.71
73.0,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,33,-0.6319,10,8800,50.0,2019.0,35.7095,304.81
5.0,22.563,18.273,26.0715,13.0125,23.489,23.095,7,8.84,8.8,11.7585,27.62,8.82,773,0.137,28,8800,17.0,2019.0,26.768,8.92
465.0,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,33,0.5407,10,7600,14.0,2019.0,35.7835,1941.62
484.0,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,33,2.9296,10,7806,17.0,2019.0,36.1399,2020.96
815.0,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,33,6.9366,10,7400,18.0,2019.0,36.8789,3403.06
150.0,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,33,3.238,10,2213,13.0,2019.0,32.9475,626.33
262.0,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,33,6.935,10,8800,49.0,2019.0,36.88,1093.99
13.0,22.563,18.273,26.0715,13.0125,23.489,23.095,7,30.21,29.5,11.7585,27.62,29.73,773,5.45,28,8800,17.0,2019.0,22.849,30.32
1200.0,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,33,-1.2295,10,7401,11.0,2019.0,35.4608,5010.64
300.0,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,33,1.3562,10,8800,17.0,2019.0,35.3396,1252.66
200.0,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,33,3.348,13,7600,44.0,2019.0,33.1319,835.1
600.0,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,33,3.3678,13,8800,8.0,2019.0,33.1377,2505.32
9.0,22.563,18.273,26.0715,13.0125,23.489,23.095,7,15.86,16.23,11.7585,27.62,16.16,773,0.223,28,8800,17.0,2019.0,29.22,15.97
9.0,22.563,18.273,26.0715,13.0125,23.489,23.095,7,15.83,17.12,11.7585,27.62,15.98,773,-8.154,28,8800,17.0,2019.0,27.752,15.47
12.0,22.563,18.273,26.0715,13.0125,23.489,23.095,7,22.44,22.61,11.7585,27.62,22.98,773,-0.601,28,8800,17.0,2019.0,34.692,22.83
6.0,22.563,18.273,26.0715,13.0125,23.489,23.095,7,10.43,10.49,11.7585,27.62,10.41,773,-0.174,28,8800,17.0,2019.0,27.241,10.57
22.8,22.563,18.273,26.0715,13.0125,23.489,23.095,5,26.83,28.25,11.7585,27.62,27.555,17,13.7319,21,8800,17.0,2019.0,-12.4706,64.92
14.6,22.563,18.273,26.0715,13.0125,23.489,23.095,3,49.87,50.79,11.7585,60.76,80.7,17,13.7319,21,8800,17.0,2019.0,-12.4706,48.53
180.0,22.563,18.273,26.0715,13.0125,23.489,23.095,3,709.84,732.53,11.7585,573.81,604.31,17,14.4809,21,8800,17.0,2019.0,-9.7523,678.19
520.0,22.563,18.273,26.0715,13.0125,23.489,23.095,3,1853.98,1919.52,11.7585,1450.81,1538.35,17,15.4672,21,8800,17.0,2019.0,-9.7955,1746.62
132.0,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,17,13.2344,21,8800,17.0,2019.0,-8.8383,0.0
16.26,22.563,18.273,26.0715,13.0125,23.489,23.095,5,26.83,28.25,11.7585,27.62,27.555,17,15.75,21,8800,17.0,2019.0,-12.76,46.3
20.0,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,17,13.57,21,8800,17.0,2019.0,-12.37,0.0
58.0,22.563,18.273,26.0715,13.0125,23.489,23.095,5,26.83,28.25,11.7585,27.62,27.555,17,13.2344,21,8800,17.0,2019.0,-8.8383,165.16
18.5,22.563,18.273,26.0715,13.0125,23.489,23.095,5,26.83,28.25,11.7585,27.62,27.555,17,13.2344,21,8800,17.0,2019.0,-8.8383,52.68
10.0,22.563,18.273,26.0715,13.0125,23.489,23.095,5,26.83,28.25,11.7585,27.62,27.555,17,12.2,21,8800,17.0,2019.0,-5.55,28.47
40.0,22.563,18.273,26.0715,13.0125,23.489,23.095,3,128.15,138.23,11.7585,165.92,152.57,17,15.0333,21,8800,17.0,2019.0,-14.7333,125.42
11.68,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,17,12.1522,21,8800,17.0,2019.0,-15.1961,0.0
16.0,22.563,18.273,26.0715,13.0125,23.489,23.095,3,67.94,66.06,11.7585,79.25,82.2,17,20.85,21,8800,17.0,2019.0,-7.3,66.01
11.34,22.563,18.273,26.0715,13.0125,23.489,23.095,5,26.83,28.25,11.7585,27.62,27.555,17,15.0,21,8800,17.0,2019.0,-15.3333,32.29
479.2,22.563,18.273,26.0715,13.0125,23.489,23.095,6,26.83,28.25,11.7585,27.62,27.555,433,-68.3556,15,1065,26.59999999999991,2015.0,-38.9368,0.0
192.0,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,433,-68.3556,15,1065,30.5,2015.0,-38.9368,1075.39
130.0,22.563,18.273,26.0715,13.0125,23.489,23.095,3,413.29,330.11,11.7585,288.58,415.17,433,-68.9892,15,3918,42.0,2015.0,-34.5792,289.92
1050.0,22.563,18.273,26.0715,13.0125,23.489,23.095,3,3575.78,3621.29,11.7585,2896.84,3416.89,433,-70.7489,15,141,37.0,2015.0,-40.58,2896.84
25.0,22.563,18.273,26.0715,13.0125,23.489,23.095,5,26.83,28.25,11.7585,27.62,27.555,433,-58.4033,15,999,17.0,2015.0,-34.8386,113.26
97.5,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,433,-68.0218,15,2027,55.0,2015.0,-38.9524,546.09
1.904,22.563,18.273,26.0715,13.0125,23.489,23.095,5,26.83,28.25,11.7585,27.62,27.555,433,-70.9157,15,2868,17.0,2015.0,-39.2145,8.62
50.7,22.563,18.273,26.0715,13.0125,23.489,23.095,3,188.01,150.75,11.7585,141.57,190.95,433,-69.0516,15,1172,21.0,2015.0,-33.0452,163.07
128.0,22.563,18.273,26.0715,13.0125,23.489,23.095,3,496.11,406.43,11.7585,413.34,479.69,433,-68.5982,15,3749,47.0,2015.0,-39.1009,413.34
370.0,22.563,18.273,26.0715,13.0125,23.489,23.095,4,26.83,28.25,11.7585,27.62,27.555,433,-59.2059,15,5595,50.0,2015.0,-33.967,1303.91
745.0,22.563,18.273,26.0715,13.0125,23.489,23.095,4,26.83,28.25,11.7585,27.62,27.555,433,-59.2045,15,5595,10.0,2015.0,-33.9674,2625.45
31.0,22.563,18.273,26.0715,13.0125,23.489,23.095,5,26.83,28.25,11.7585,27.62,27.555,433,-64.7847,15,2647,17.0,2015.0,-23.8219,140.45
5.736000000000001,22.563,18.273,26.0715,13.0125,23.489,23.095,5,26.83,28.25,11.7585,27.62,27.555,433,-71.4167,15,1882,17.0,2015.0,-41.1167,25.98
38.4,22.563,18.273,26.0715,13.0125,23.489,23.095,3,118.19,102.5,11.7585,90.12,123.62,433,-64.3233,15,2867,58.0,2015.0,-32.1883,104.67
2.096,22.563,18.273,26.0715,13.0125,23.489,23.095,5,26.83,28.25,11.7585,27.62,27.555,433,-53.6469,15,2642,17.0,2015.0,-26.2545,9.49
31.9,22.563,18.273,26.0715,13.0125,23.489,23.095,5,26.83,28.25,11.7585,27.62,27.555,433,-62.7107,15,2647,17.0,2015.0,-34.2605,144.52
27.6,22.563,18.273,26.0715,13.0125,23.489,23.095,5,26.83,28.25,11.7585,27.62,27.555,433,-58.4237,15,2647,17.0,2015.0,-35.0241,125.04
1.415,22.563,18.273,26.0715,13.0125,23.489,23.095,5,26.83,28.25,11.7585,27.62,27.555,433,-57.6205,15,2321,17.0,2015.0,-27.7534,6.41
102.0,22.563,18.273,26.0715,13.0125,23.489,23.095,3,416.66,337.42,11.7585,380.17,431.73,433,-65.3298,15,141,46.0,2015.0,-25.2712,409.06
120.0,22.563,18.273,26.0715,13.0125,23.489,23.095,3,416.3,314.76,11.7585,297.51,408.8,433,-69.1109,15,1172,22.0,2015.0,-33.0291,341.24
1.07,22.563,18.273,26.0715,13.0125,23.489,23.095,5,26.83,28.25,11.7585,27.62,27.555,433,-66.2106,15,141,17.0,2015.0,-25.1089,4.84
4.182,22.563,18.273,26.0715,13.0125,23.489,23.095,5,26.83,28.25,11.7585,27.62,27.555,433,-65.9876,15,141,17.0,2015.0,-26.0715,18.94
5.728,22.563,18.273,26.0715,13.0125,23.489,23.095,5,26.83,28.25,11.7585,27.62,27.555,433,-65.7841,15,2665,17.0,2015.0,-28.4537,25.95
7.075,22.563,18.273,26.0715,13.0125,23.489,23.095,5,26.83,28.25,11.7585,27.62,27.555,433,-65.7872,15,2665,17.0,2015.0,-28.4773,32.05
4.675,22.563,18.273,26.0715,13.0125,23.489,23.095,5,26.83,28.25,11.7585,27.62,27.555,433,-65.7797,15,2665,17.0,2015.0,-28.4684,21.18
60.0,22.563,18.273,26.0715,13.0125,23.489,23.095,3,228.48,200.87,11.7585,195.69,222.0,433,-67.1908,15,2820,28.0,2015.0,-38.2143,206.48
17.28,22.563,18.273,26.0715,13.0125,23.489,23.095,3,51.23,41.26,11.7585,45.68,48.3,433,-64.2006,15,2867,71.0,2015.0,-31.3992,43.63
620.0,22.563,18.273,26.0715,13.0125,23.489,23.095,0,26.83,28.25,11.7585,27.62,27.555,433,-62.2536,15,6259,34.0,2015.0,-38.7872,3213.44
540.0,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,433,-68.6048,15,6259,24.5,2015.0,-38.5127,3024.54
11.228,22.563,18.273,26.0715,13.0125,23.489,23.095,5,26.83,28.25,11.7585,27.62,27.555,433,-67.9463,15,4238,17.0,2015.0,-38.062,50.87
673.6,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,433,-58.7334,15,6415,26.299999999999955,2015.0,-34.9027,3772.84
164.55,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,433,-58.7334,15,6415,17.0,2015.0,-34.9027,921.64
280.0,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,433,-60.7811,15,2647,11.0,2015.0,-31.7112,1568.28
643.0,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,433,-65.0513,15,139,24.59999999999991,2015.0,-24.7456,3601.45
361.0,22.563,18.273,26.0715,13.0125,23.489,23.095,0,26.83,28.25,11.7585,27.62,27.555,433,-65.0425,15,6259,30.700000000000045,2015.0,-24.6894,1871.05
32.0,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,433,-64.2655,15,3404,17.0,2015.0,-27.7528,179.23
30.44,22.563,18.273,26.0715,13.0125,23.489,23.095,5,26.83,28.25,11.7585,27.62,27.555,433,-63.7664,15,2607,14.0,2015.0,-22.3497,137.91
25.0,22.563,18.273,26.0715,13.0125,23.489,23.095,5,26.83,28.25,11.7585,27.62,27.555,433,-58.3881,15,168,17.0,2015.0,-34.7208,113.26
524.0,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,433,-58.5438,15,8412,17.0,2015.0,-34.6268,2934.93
868.2,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,433,-65.0425,15,8414,15.299999999999955,2015.0,-24.6894,4862.8
865.1400000000001,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,433,-60.791,15,1199,15.299999999999955,2015.0,-32.5778,4845.66
121.4,22.563,18.273,26.0715,13.0125,23.489,23.095,3,423.27,340.96,11.7585,341.9,489.01,433,-68.9814,15,2875,15.0,2015.0,-31.5192,339.93
5.0,22.563,18.273,26.0715,13.0125,23.489,23.095,5,26.83,28.25,11.7585,27.62,27.555,433,-67.5069,15,4238,17.0,2015.0,-29.1578,22.65
2.0,22.563,18.273,26.0715,13.0125,23.489,23.095,7,3.86,4.24,11.7585,4.26,3.82,433,-68.5402,15,2647,17.0,2015.0,-31.9881,4.26
5.78,22.563,18.273,26.0715,13.0125,23.489,23.095,3,15.66,11.37,11.7585,11.1,13.32,433,-67.9427,15,2319,70.0,2015.0,-38.9121,11.1
2.372,22.563,18.273,26.0715,13.0125,23.489,23.095,5,26.83,28.25,11.7585,27.62,27.555,433,-54.0419,15,2642,17.0,2015.0,-25.6669,10.74
141.02,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,433,-54.6278,15,2031,34.0,2015.0,-25.9913,789.85
16.56,22.563,18.273,26.0715,13.0125,23.489,23.095,9,26.83,28.25,11.7585,27.62,27.555,433,-67.4964,15,1881,17.0,2015.0,-45.8467,104.06
1.4,22.563,18.273,26.0715,13.0125,23.489,23.095,5,26.83,28.25,11.7585,27.62,27.555,433,-58.8042,15,2321,17.0,2015.0,-27.4708,6.34
1982.2,22.563,18.273,26.0715,13.0125,23.489,23.095,0,26.83,28.25,11.7585,27.62,27.555,433,-58.3393,15,2665,40.09999999999991,2015.0,-34.626,10273.7
17.94,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,433,-68.7971,15,2030,55.0,2015.0,-33.0349,100.48
5.052,22.563,18.273,26.0715,13.0125,23.489,23.095,5,26.83,28.25,11.7585,27.62,27.555,433,-64.7538,15,2867,81.0,2015.0,-30.7636,22.88
26.0,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,433,-64.1537,15,3387,17.0,2015.0,-32.1613,145.62
15.0,22.563,18.273,26.0715,13.0125,23.489,23.095,5,26.83,28.25,11.7585,27.62,27.555,433,-65.2298,15,168,17.0,2015.0,-43.0907,67.95
6.3,22.563,18.273,26.0715,13.0125,23.489,23.095,5,26.83,28.25,11.7585,27.62,27.555,433,-70.5753,15,4238,17.0,2015.0,-38.8706,28.54
15.0,22.563,18.273,26.0715,13.0125,23.489,23.095,5,26.83,28.25,11.7585,27.62,27.555,433,-54.8625,15,7610,17.0,2015.0,-27.0922,67.95
20.0,22.563,18.273,26.0715,13.0125,23.489,23.095,5,26.83,28.25,11.7585,27.62,27.555,433,-60.1297,15,168,17.0,2015.0,-34.0414,90.61
19.2,22.563,18.273,26.0715,13.0125,23.489,23.095,5,26.83,28.25,11.7585,27.62,27.555,433,-62.8569,15,8096,17.0,2015.0,-28.4431,86.98
11.5,22.563,18.273,26.0715,13.0125,23.489,23.095,5,26.83,28.25,11.7585,27.62,27.555,433,-62.8569,15,8096,17.0,2015.0,-28.4431,52.1
20.0,22.563,18.273,26.0715,13.0125,23.489,23.095,5,26.83,28.25,11.7585,27.62,27.555,433,-71.2633,15,7610,17.0,2015.0,-41.1497,90.61
15.62,22.563,18.273,26.0715,13.0125,23.489,23.095,5,26.83,28.25,11.7585,27.62,27.555,433,-62.6864,15,8096,17.0,2015.0,-32.6103,70.76
49.8,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,433,-60.4311,15,3429,17.0,2015.0,-35.1364,278.93
5.0,22.563,18.273,26.0715,13.0125,23.489,23.095,5,26.83,28.25,11.7585,27.62,27.555,433,-59.7683,15,4238,17.0,2015.0,-34.1636,22.65
19.2,22.563,18.273,26.0715,13.0125,23.489,23.095,5,26.83,28.25,11.7585,27.62,27.555,433,-65.7647,15,4238,17.0,2015.0,-28.4706,86.98
5.0,22.563,18.273,26.0715,13.0125,23.489,23.095,5,26.83,28.25,11.7585,27.62,27.555,433,-70.6136,15,4238,17.0,2015.0,-38.0528,22.65
18.0,22.563,18.273,26.0715,13.0125,23.489,23.095,5,26.83,28.25,11.7585,27.62,27.555,433,-61.9297,15,4238,17.0,2015.0,-29.8883,81.55
19.4,22.563,18.273,26.0715,13.0125,23.489,23.095,5,26.83,28.25,11.7585,27.62,27.555,433,-61.1939,15,8096,17.0,2015.0,-27.2369,87.89
10.0,22.563,18.273,26.0715,13.0125,23.489,23.095,5,26.83,28.25,11.7585,27.62,27.555,433,-67.5072,15,4238,17.0,2015.0,-29.1581,45.3
5.0,22.563,18.273,26.0715,13.0125,23.489,23.095,5,26.83,28.25,11.7585,27.62,27.555,433,-67.9414,15,168,17.0,2015.0,-38.9133,22.65
15.3,22.563,18.273,26.0715,13.0125,23.489,23.095,5,26.83,28.25,11.7585,27.62,27.555,433,-61.0769,15,8096,17.0,2015.0,-33.9222,69.31
41.78,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,433,-58.2672,15,3429,17.0,2015.0,-32.4767,234.01
20.0,22.563,18.273,26.0715,13.0125,23.489,23.095,5,26.83,28.25,11.7585,27.62,27.555,433,-58.8042,15,168,17.0,2015.0,-27.4708,90.61
13.2,22.563,18.273,26.0715,13.0125,23.489,23.095,0,26.83,28.25,11.7585,27.62,27.555,433,-62.3961,15,6414,17.0,2015.0,-38.6871,68.41
